feature,importance
G2,0.8626601476583446
absences,0.05343673723966991
student_code,0.010092754636502773
age,0.009998922366783621
G1,0.00545762182460534
Fedu,0.005225288431106819
Walc,0.005033249197474958
health,0.004993374667047505
famrel,0.004987418087254056
Dalc,0.004456299278574822
goout,0.004416344225640644
studytime,0.0035379052218006517
Medu,0.0025290208351000753
freetime,0.0024807166886582875
guardian_other,0.002436553062958398
romantic_yes,0.0017126645080653606
activities_yes,0.0016761846401269558
paid_yes,0.001340101506301504
failures,0.0013172974758255411
traveltime,0.0011920363912410888
schoolsup_yes,0.001177340087070369
sex_M,0.001162100338747717
guardian_mother,0.001148491107484127
Mjob_other,0.0009592037263315514
Mjob_teacher,0.0008762039423725766
higher_yes,0.0006781889685766912
famsup_yes,0.0005972839126404358
nursery_yes,0.0005542867883738419
Mjob_services,0.0005490071256407183
internet_yes,0.0005424602695250539
Fjob_other,0.0004994431508164222
Fjob_services,0.0003943711399769153
Mjob_health,0.0003333307021311089
famsize_LE3,0.0003302154142546788
address_U,0.00031918984007506604
school_MS,0.00030646770837436464
Fjob_teacher,0.0002588456518979217
Pstatus_T,0.0001666057270194465
Fjob_health,0.0001663264556077828
