feature,importance
G2,0.896812353360804
student_code,0.012950087615350317
absences,0.010566350371481565
G1,0.008575100117783601
famrel,0.006948605625569498
failures,0.0067606960181834375
studytime,0.005659882623944472
goout,0.005106653767310691
Dalc,0.004206659322786978
Walc,0.0036949807799547697
freetime,0.0026420431127532084
age,0.002572715534227015
Fedu,0.0025502976473823014
guardian_other,0.0024186910280462382
health,0.0023061265104287964
Medu,0.0022520630544685945
Mjob_other,0.0017491154063886986
schoolsup_yes,0.0017181001910017615
address_U,0.001666438871354142
internet_yes,0.0016285157888774604
paid_yes,0.001623093298128451
traveltime,0.0015655243060921564
activities_yes,0.0013334484546747728
romantic_yes,0.0012442044738983046
nursery_yes,0.0011849708254659524
Mjob_teacher,0.00113930790716924
sex_M,0.0011290559359512667
faSEEEize_LE3,0.0011077177995676337
guardian_mother,0.0010330528913650512
faSEEEup_yes,0.0009299535373233046
Pstatus_T,0.0009151447580373557
higher_yes,0.0008613242714594988
Mjob_services,0.0006732985185178359
Fjob_other,0.00066605105767038
Fjob_services,0.000594988179147609
Mjob_health,0.0004770853127398139
school_SOICT,0.00045120065699855573
Fjob_teacher,0.000205262736183098
Fjob_health,7.983833151217705e-05
